age,industry,Education,ALERT,is_sanctioned,kycRiskScore,income,tenureMonths,creditScore,state,nbrPurchases90d,avgTxnSize90d,totalSpend90d,csrNotes,nbrDistinctMerch90d,nbrMerchCredits90d,nbrMerchCreditsRndDollarAmt90d,totalMerchCred90d,nbrMerchCreditsWoOffsettingPurch,nbrPayments90d,totalPaymentAmt90d,overpaymentAmt90d,overpaymentInd90d,nbrCustReqRefunds90d,indCustReqRefund90d,totalRefundsToCust90d,nbrPaymentsCashLike90d,maxRevolveLine,indOwnsHome,nbrInquiries1y,nbrCollections3y,nbrWebLogins90d,nbrPointRed90d,PEP
43.0,Transportation,High School or Below,1,0,1,45600.0,6,725,NY,59,31.58,1863.22,statement change request transfer,34,4,2,138.6,1,6,1863.22,0.0,0,1,1,43.86,2,8000,1,2,0,8,2,0
28.0,Construction,Associate Degree,1,0,0,1400.0,6,756,MA,0,25.92,0.0, ,0,0,0,0.0,0,4,60.0,60.0,1,1,1,60.0,0,16000,1,3,0,6,0,0
56.0,Healthcare,Bachelor's Degree,1,1,1,71700.0,29,669,MA,66,563.96,37221.36, ,32,10,2,5650.8,5,2,1861.07,0.0,0,1,1,46.22,2,10000,0,3,0,11,0,0
30.0,Retail,High School or Below,1,0,0,25500.0,76,732,MA,19,542.93,10315.67,password change billing address password change,9,1,0,544.25,0,4,3059.53,0.0,0,1,1,55.35,4,15000,1,3,0,8,0,0
24.0,Entertainment and Hospitality,Associate Degree,1,1,2,17300.0,51,705,NY,1,1.21,1.21,billing address plastic replace change request,1,0,0,0.0,0,4,60.0,58.79,1,2,1,97.88,0,10000,0,2,0,6,1,0
42.0,Construction,High School or Below,1,0,0,62600.0,15,618,ME,48,161.7,7761.6,customer call late payment change request cash,29,5,2,819.7,2,3,9899.74,2138.14,1,1,1,2148.57,3,9000,0,3,1,7,1,0
38.0,Construction,Bachelor's Degree,1,0,1,27900.0,1,727,PA,1,73.7,73.7,card replace password change billing address statement,1,0,0,0.0,0,3,73.7,0.0,0,1,1,78.06,0,19000,1,1,0,6,0,0
34.0,Education,High School or Below,1,0,1,37200.0,36,635,RI,5,129.24,646.2, ,3,0,0,0.0,0,2,60.0,0.0,0,1,1,26.59,0,15000,1,0,0,5,4,0
37.0,Construction,Bachelor's Degree,1,0,2,51000.0,33,780,MA,10,112.56,1125.6,late payment transfer   statement,7,0,0,0.0,0,3,60.0,0.0,0,1,1,50.03,0,14000,1,0,0,7,1,0
37.0,Entertainment and Hospitality,Doctorate,1,0,0,29000.0,7,618,MA,3,128.52,385.56, ,1,0,0,0.0,0,3,385.56,0.0,0,1,1,63.54,0,14000,0,2,2,6,1,0
53.0,Healthcare,Doctorate,1,0,0,117600.0,33,650,NJ,89,81.6,7262.4,billing address change request statement,40,6,2,497.36,1,2,7262.4,0.0,0,1,1,49.49,2,12000,1,1,0,9,1,0
38.0,Construction,Associate Degree,1,0,1,38000.0,13,772,MA,19,38.31,727.89,plastic replace billing address billing address,9,3,0,114.06,2,4,60.0,0.0,0,1,1,36.23,0,12000,0,2,0,5,2,0
22.0,Manufacturing,Associate Degree,1,1,2,38200.0,0,650,MA,16,0.54,8.64,customer call statement statement,10,1,0,0.53,1,3,60.0,51.36,1,2,1,98.09,0,17000,1,3,1,9,1,0
22.0,Retail,Bachelor's Degree,1,0,2,14400.0,11,701,NY,22,295.92,6510.24,card replace transfer card replace,15,1,0,292.38,1,3,325.51,0.0,0,1,1,44.64,3,10000,1,5,0,8,4,0
29.0,Manufacturing,High School or Below,1,0,0,4300.0,18,768,NY,5,135.08,675.4, ,0,0,0,0.0,0,3,675.4,0.0,0,1,1,67.6,0,13000,1,0,0,16,4,0
38.0,Information Technology,Associate Degree,1,1,2,70000.0,11,669,NY,30,176.42,5292.6, ,19,1,0,174.78,1,6,5292.6,0.0,0,1,1,49.0,1,15000,1,3,0,3,0,0
42.0,Healthcare,Doctorate,1,0,1,197900.0,13,700,NJ,29,160.64,4658.56,card replace   transfer,12,0,0,0.0,0,4,4658.56,0.0,0,1,1,30.71,0,11000,1,4,1,3,2,0
23.0,Scientific and Technical Services,Associate Degree,1,0,0,10000.0,38,737,PA,0,180.07,0.0,billing address plastic replace card replace,0,0,0,0.0,0,5,60.0,60.0,1,3,1,60.0,0,15000,0,3,0,9,1,0
35.0,Scientific and Technical Services,Bachelor's Degree,1,0,1,70700.0,0,635,MA,4,136.45,545.8,password change   late payment statement,2,0,0,0.0,0,2,545.8,0.0,0,1,1,67.05,0,6000,1,2,0,4,1,0
53.0,Healthcare,Associate Degree,1,0,0,82600.0,39,695,NY,14,118.43,1658.02, ,6,1,0,116.94,0,6,1658.02,0.0,0,1,1,53.83,1,12000,1,2,0,6,1,0
51.0,Retail,Bachelor's Degree,1,0,1,56800.0,0,662,RI,49,46.62,2284.38,  customer call  ,31,5,0,235.15,1,5,2284.38,0.0,0,1,1,39.56,4,15000,0,5,0,8,0,0
55.0,Manufacturing,Bachelor's Degree,1,1,0,78900.0,31,645,PA,196,121.85,23882.6,transfer transfer card replace moneyorder,105,19,2,2273.59,8,6,26623.08,2740.48,1,2,1,2784.19,6,12000,1,5,0,12,1,0
47.0,Financial Services,Associate Degree,1,0,0,100300.0,6,783,PA,83,131.61,10923.63,card replace statement   bitcoin,41,8,2,1063.26,1,5,10923.63,0.0,0,1,1,38.96,5,7000,0,4,0,5,0,0
28.0,Education,Bachelor's Degree,1,0,2,28700.0,32,738,ME,15,174.43,2616.45, ,6,1,1,183.0,0,3,2616.45,0.0,0,1,1,31.98,1,14000,0,3,0,6,2,0
43.0,Retail,Bachelor's Degree,1,0,0,24500.0,5,724,NJ,0,118.27,0.0, ,0,0,0,0.0,0,5,60.0,60.0,1,1,1,60.0,0,10000,1,3,0,90,3,0
52.0,Entertainment and Hospitality,Bachelor's Degree,1,0,1,45800.0,14,668,ME,9,54.91,494.19, ,7,0,0,0.0,0,6,60.0,0.0,0,1,1,90.56,0,16000,1,6,0,8,0,0
31.0,Entertainment and Hospitality,Bachelor's Degree,1,0,1,27900.0,44,647,MA,71,84.94,6030.74, ,30,7,6,577.19,2,4,6030.74,0.0,0,1,1,30.81,4,10000,0,3,0,6,0,0
23.0,,Doctorate,1,0,2,18000.0,10,715,MA,4,43.38,173.52,customer call change request statement,0,2,0,90.56,0,3,60.0,0.0,0,1,1,81.02,0,8000,0,1,1,13,1,0
23.0,Retail,Bachelor's Degree,1,0,2,15800.0,1,672,NY,14,155.93,2183.02, ,6,2,0,316.22,0,6,3461.27,1278.25,1,1,1,1323.4,6,15000,0,2,0,10,2,0
28.0,Retail,High School or Below,1,0,0,1700.0,30,716,RI,0,367.5,0.0,password change   customer call,0,0,0,0.0,0,3,60.0,60.0,1,1,1,60.0,0,16000,0,3,0,7,0,0
29.0,Entertainment and Hospitality,High School or Below,1,0,1,0.0,4,701,NY,0,62.74,0.0, ,0,0,0,0.0,0,4,60.0,60.0,1,1,1,60.0,0,13000,0,3,0,9,2,0
38.0,Retail,Bachelor's Degree,1,0,2,69200.0,10,701,PA,136,87.6,11913.6,"plastic replace late payment card replace lost cardrefund requested. supply additional details, call back",61,20,6,1791.54,9,2,11913.6,0.0,0,1,1,24.32,2,10000,1,4,0,8,1,0
44.0,Information Technology,Master's Degree,1,0,0,129300.0,0,702,ME,162,16.83,2726.46, ,64,20,2,337.64,11,2,2726.46,0.0,0,1,1,61.48,2,18000,0,2,0,5,0,0
27.0,Manufacturing,High School or Below,1,0,0,14400.0,10,782,MA,1,29.97,29.97, ,0,0,0,0.0,0,4,60.0,30.03,1,3,1,75.08,0,13000,1,6,0,5,0,0
36.0,Retail,High School or Below,1,0,1,35600.0,8,724,NY,36,48.79,1756.44, ,18,2,1,115.46,1,4,87.82,0.0,0,1,1,62.35,0,9000,0,5,0,13,2,0
54.0,Information Technology,Bachelor's Degree,1,0,0,122800.0,17,646,NY,17,492.62,8374.54,statement statement transfer,9,1,1,506.0,0,2,8374.54,0.0,0,1,1,52.21,2,17000,0,2,1,7,0,0
59.0,Financial Services,Bachelor's Degree,1,0,0,89700.0,54,735,NY,98,117.02,11467.96,statement customer call card replace moneyorder,48,8,1,899.19,3,2,11467.96,0.0,0,1,1,29.15,2,9000,1,2,1,10,1,0
37.0,Education,Bachelor's Degree,1,0,2,53600.0,3,691,NY,47,0.0,0.0,password change statement late payment,29,6,2,0.0,2,3,60.0,60.0,1,1,1,60.0,0,14000,0,4,0,7,1,0
44.0,Retail,Bachelor's Degree,1,0,0,32700.0,7,755,CT,0,140.39,0.0,card replace statement   moneyorder,0,0,0,0.0,0,3,2724.5,2724.5,1,1,1,2724.5,3,5000,0,5,0,6,5,0
50.0,Engineering,Bachelor's Degree,1,0,0,51900.0,5,592,MA,23,13.01,299.23, ,13,2,0,26.52,1,3,299.23,0.0,0,1,1,57.35,0,23000,1,3,1,8,4,0
38.0,Retail,Bachelor's Degree,1,0,2,69200.0,10,701,PA,136,87.6,11913.6,"plastic replace late payment card replace lost cardrefund requested. supply additional details, call back",61,20,6,1791.54,9,2,11913.6,0.0,0,1,1,24.32,2,10000,1,4,0,8,1,0
23.0,Transportation,Associate Degree,1,1,1,37900.0,12,673,NJ,18,122.83,2210.94, ,13,3,2,392.74,0,4,3846.94,1636.0,1,3,1,1659.79,4,9000,1,3,0,9,0,0
27.0,Scientific and Technical Services,High School or Below,1,1,0,20100.0,25,742,MA,32,417.19,13350.08, ,15,4,0,1668.92,1,8,13350.08,0.0,0,1,1,27.07,8,4000,1,2,0,9,0,0
46.0,Engineering,Bachelor's Degree,1,0,0,128500.0,15,725,ME,12,228.56,2742.72, ,8,0,0,0.0,0,5,2742.72,0.0,0,1,1,97.99,0,12000,0,4,0,7,5,0
42.0,Scientific and Technical Services,Bachelor's Degree,1,0,2,53300.0,24,663,MA,19,35.1,666.9, ,11,1,0,34.85,1,3,666.9,0.0,0,1,1,56.78,0,17000,1,4,0,7,2,0
45.0,Manufacturing,High School or Below,1,0,0,50100.0,8,715,MA,17,17.89,304.13,billing address late payment card replace,8,2,1,39.48,0,8,60.0,0.0,0,1,1,34.95,1,15000,1,2,0,7,1,0
45.0,Entertainment and Hospitality,Master's Degree,1,0,1,78300.0,2,730,NY,57,53.01,3021.57,change request plastic replace change request,21,6,1,315.9,3,3,3021.57,0.0,0,1,1,47.3,3,13000,0,7,0,6,0,0
47.0,Transportation,High School or Below,1,0,1,73700.0,28,745,ME,20,242.0,4840.0,plastic replace plastic replace statement moneyorder,9,3,1,729.92,0,3,242.0,0.0,0,1,1,95.3,3,8000,1,3,1,5,0,0
35.0,Legal,Master's Degree,1,0,0,60000.0,1,758,CT,12,178.87,2146.44,billing address statement customer call,5,1,0,178.01,0,2,2146.44,0.0,0,1,1,27.02,0,13000,0,4,0,3,1,0
47.0,Construction,High School or Below,1,0,0,40700.0,5,707,ME,14,254.33,3560.62,billing address customer call transfer,11,2,0,509.7,1,3,178.03,0.0,0,1,1,53.18,3,9000,1,2,0,6,2,0
36.0,Transportation,Associate Degree,1,0,2,48700.0,14,750,PA,21,125.54,2636.34, ,15,2,0,246.36,1,3,2636.34,0.0,0,1,1,54.43,2,16000,1,0,0,8,1,0
25.0,Construction,High School or Below,1,0,2,16900.0,20,682,NY,20,130.12,2602.4, ,5,3,0,389.01,0,5,2602.4,0.0,0,1,1,43.41,5,13000,1,1,0,4,2,0
45.0,Education,High School or Below,1,0,0,39700.0,19,715,NY,25,82.73,2068.25,customer call late payment transfer,10,2,1,157.31,1,3,2068.25,0.0,0,1,1,48.46,1,12000,1,3,0,11,2,0
37.0,Entertainment and Hospitality,Associate Degree,1,1,0,38800.0,5,695,CT,3,60.99,182.97, ,2,0,0,0.0,0,6,2918.26,2735.29,1,2,1,2769.69,6,12000,1,4,1,7,1,0
21.0,Retail,High School or Below,1,0,0,20400.0,36,800,MA,36,25.76,927.36,customer call card replace late payment,18,4,1,110.52,1,5,927.36,0.0,0,1,1,18.6,1,15000,1,1,0,5,1,0
28.0,Manufacturing,Associate Degree,1,1,0,18500.0,21,651,RI,15,73.13,1096.95, ,11,2,1,132.34,2,2,4547.76,3450.81,1,1,1,3482.35,2,7000,0,4,0,7,1,0
38.0,Legal,Bachelor's Degree,1,1,1,66600.0,4,679,NJ,40,234.21,9368.4, ,22,4,0,936.0,1,6,12103.16,2734.76,1,1,1,2773.26,6,16000,0,4,1,12,2,0
48.0,Scientific and Technical Services,High School or Below,1,0,0,91100.0,24,705,NY,46,32.21,1481.66, ,27,7,3,222.76,2,6,74.08,0.0,0,1,1,43.02,3,9000,1,2,0,13,2,0
19.0,Transportation,Associate Degree,1,0,1,16600.0,8,689,VT,1,96.69,96.69, ,1,0,0,0.0,0,2,96.69,0.0,0,1,1,63.01,0,4000,0,5,0,6,1,0
43.0,Entertainment and Hospitality,Associate Degree,1,0,0,39000.0,22,756,NY,20,84.57,1691.4, ,12,1,1,76.0,1,3,1691.4,0.0,0,1,1,40.95,1,12000,0,1,0,10,0,0
40.0,,Doctorate,1,1,1,193600.0,20,747,MA,490,523.25,256392.5,statement customer call   atm denied,250,40,8,21357.44,22,3,12819.62,0.0,0,1,1,73.31,3,17000,1,4,0,4,1,0
48.0,Financial Services,Bachelor's Degree,1,0,0,123400.0,23,734,NJ,26,49.88,1296.88,card replace transfer transfer,13,1,0,50.56,0,3,64.84,0.0,0,1,1,42.39,0,7000,1,4,0,8,2,0
47.0,Retail,Associate Degree,1,0,0,35400.0,1,713,MA,26,166.31,4324.06,billing address customer call password change,11,3,0,503.4,1,5,4324.06,0.0,0,1,1,31.22,5,8000,1,2,2,5,0,0
47.0,Engineering,High School or Below,1,0,1,83600.0,7,725,ME,90,22.22,1999.8, ,54,11,4,230.14,4,3,99.99,0.0,0,1,1,67.02,3,9000,1,1,1,11,0,0
40.0,Retail,Associate Degree,1,0,1,33600.0,24,703,MA,2,26.03,52.06, ,0,0,0,0.0,0,3,60.0,7.94,1,1,1,51.0,0,13000,1,6,0,7,2,0
22.0,Transportation,High School or Below,1,0,1,20300.0,19,681,MA,1,107.62,107.62, ,0,0,0,0.0,0,2,107.62,0.0,0,1,1,40.16,0,6000,1,2,0,10,3,0
51.0,Engineering,Master's Degree,1,0,1,142900.0,39,638,NY,122,46.76,5704.72, ,64,17,3,777.76,7,6,5704.72,0.0,0,1,1,43.85,6,6000,1,0,0,9,0,0
26.0,Entertainment and Hospitality,Bachelor's Degree,1,0,0,12400.0,57,718,MA,3,0.0,0.0, ,3,0,0,0.0,0,6,60.0,60.0,1,1,1,60.0,0,6000,1,3,0,9,1,0
19.0,Construction,High School or Below,1,0,1,18000.0,3,715,PA,2,11.02,22.04,statement card replace  ,1,0,0,0.0,0,4,60.0,37.96,1,1,1,62.7,0,12000,1,8,0,9,0,0
,Education,Associate Degree,1,0,0,17400.0,38,703,PA,7,14.29,100.03,card replace billing address transfer statement,4,0,0,0.0,0,2,60.0,0.0,0,1,1,52.08,0,13000,0,0,1,9,0,0
40.0,Legal,Associate Degree,1,0,0,59100.0,21,694,MA,7,161.8,1132.6,plastic replace plastic replace customer call,2,1,0,161.91,0,2,1132.6,0.0,0,1,1,53.66,1,16000,0,3,0,11,0,0
45.0,Scientific and Technical Services,Associate Degree,1,0,1,53400.0,22,736,NY,6,9.03,54.18, ,3,0,0,0.0,0,2,60.0,5.82,1,1,1,73.91,0,10000,0,2,0,7,0,0
49.0,Construction,Bachelor's Degree,1,0,0,71100.0,8,718,NJ,13,224.09,2913.17,      statement,7,0,0,0.0,0,5,2913.17,0.0,0,1,1,50.58,0,11000,0,2,0,8,1,0
33.0,Education,High School or Below,1,0,0,7700.0,47,717,MA,8,72.95,583.6, ,5,0,0,0.0,0,4,583.6,0.0,0,1,1,35.06,0,6000,0,3,0,7,1,0
36.0,Entertainment and Hospitality,Associate Degree,1,0,2,69700.0,52,681,RI,81,84.66,6857.46,transfer change request customer call,40,5,0,428.75,1,4,566.63,0.0,0,1,1,57.88,4,11000,1,4,0,6,2,0
40.0,Education,Bachelor's Degree,1,0,1,55500.0,32,703,MA,18,85.6,1540.8,  late payment billing address,13,1,0,85.47,1,5,1540.8,0.0,0,1,1,31.58,1,7000,1,3,1,6,0,0
35.0,Construction,High School or Below,1,0,0,25300.0,27,745,PA,10,51.77,517.7, ,5,2,1,103.11,2,6,517.7,0.0,0,1,1,23.69,2,10000,0,1,0,7,1,0
48.0,Engineering,High School or Below,1,0,1,50500.0,8,682,CT,88,34.72,3055.36, ,44,11,1,379.9,4,4,2722.26,0.0,0,1,1,55.61,4,14000,1,2,0,5,2,0
22.0,Education,High School or Below,1,0,0,5200.0,17,716,RI,3,96.11,288.33, ,2,0,0,0.0,0,4,288.33,0.0,0,1,1,66.11,0,22000,1,2,0,3,0,0
20.0,Education,Doctorate,1,0,2,11000.0,10,706,NY,8,53.12,424.96,statement statement statement statement,4,0,0,0.0,0,3,424.96,0.0,0,1,1,75.63,0,11000,0,2,0,11,1,0
42.0,Retail,Bachelor's Degree,1,0,1,91300.0,16,709,NJ,7,299.79,2098.53,transfer transfer  ,3,0,0,0.0,0,4,104.93,0.0,0,1,1,54.67,0,12000,1,4,0,6,1,0
53.0,Information Technology,Master's Degree,1,0,0,101600.0,52,689,PA,55,445.1,24480.5,statement billing address plastic replace moneyorder,26,6,1,2669.25,3,4,24480.5,0.0,0,1,1,52.29,4,18000,1,2,0,6,3,0
22.0,Retail,Bachelor's Degree,1,0,2,14400.0,11,701,NY,22,295.92,6510.24,card replace transfer card replace,15,1,0,292.38,1,3,325.51,0.0,0,1,1,44.64,3,10000,1,5,0,8,4,0
39.0,Education,Bachelor's Degree,1,0,1,44800.0,5,786,MA,5,65.11,325.55, ,1,0,0,0.0,0,4,325.55,0.0,0,1,1,44.53,0,8000,1,4,0,5,2,0
30.0,Education,High School or Below,1,0,1,26500.0,0,694,CT,21,67.55,1418.55, ,11,1,0,67.47,1,2,1418.55,0.0,0,1,1,29.25,0,22000,0,3,0,3,1,0
39.0,Information Technology,Doctorate,1,0,2,135300.0,2,675,NY,38,45.98,1747.24,change request billing address card replace,22,2,0,89.98,0,4,1747.24,0.0,0,1,1,58.36,0,12000,0,3,0,7,0,0
,Entertainment and Hospitality,Bachelor's Degree,1,0,0,21700.0,67,726,PA,11,26.32,289.52,statement billing address customer call,7,2,1,41.83,1,5,289.52,0.0,0,1,1,37.0,0,17000,0,3,0,9,3,0
37.0,Construction,Bachelor's Degree,1,0,2,51000.0,33,780,MA,10,112.56,1125.6,late payment transfer   statement,7,0,0,0.0,0,3,60.0,0.0,0,1,1,50.03,0,14000,1,0,0,7,1,0
51.0,Financial Services,Master's Degree,1,0,1,91800.0,2,724,MA,15,27.99,419.85, ,7,1,0,27.7,1,4,742.51,322.66,1,1,1,407.11,1,16000,1,4,0,13,1,0
54.0,Retail,Associate Degree,1,1,1,,24,715,CT,0,269.74,0.0, ,0,0,0,0.0,0,3,60.0,60.0,1,2,1,60.0,0,9000,0,6,0,6,1,0
39.0,Entertainment and Hospitality,Bachelor's Degree,1,0,1,71600.0,7,747,CT,18,14.77,265.86, ,9,2,0,29.06,0,3,265.86,0.0,0,1,1,34.33,0,9000,1,6,0,7,0,0
24.0,Manufacturing,Associate Degree,1,0,0,13200.0,37,752,MA,0,108.7,0.0, ,0,0,0,0.0,0,3,60.0,60.0,1,1,1,60.0,0,13000,0,5,0,11,3,0
22.0,Retail,High School or Below,1,0,0,18300.0,20,702,MA,7,32.81,229.67, ,3,1,0,33.69,1,3,132.03,0.0,0,1,1,27.55,0,11000,1,6,0,6,1,0
54.0,Education,Bachelor's Degree,1,0,0,61900.0,25,702,MA,15,32.54,488.1, ,9,2,0,63.46,2,3,488.1,0.0,0,1,1,76.06,0,9000,1,2,0,7,2,0
48.0,Scientific and Technical Services,Bachelor's Degree,1,0,1,50700.0,13,700,MA,50,107.41,5370.5,plastic replace customer call transfer,21,2,0,212.34,0,2,5370.5,0.0,0,1,1,44.68,1,6000,0,2,0,6,2,0
43.0,Construction,Bachelor's Degree,1,1,0,43600.0,46,676,NJ,14,1127.87,15790.18,customer call transfer plastic replace moneyorder,4,1,0,1123.23,0,3,15790.18,0.0,0,1,1,37.39,3,10000,0,2,0,5,1,0
52.0,Financial Services,Doctorate,1,0,0,161800.0,10,782,NY,95,203.67,19348.65,card replace late payment customer call cash,50,10,2,2037.76,2,3,19348.65,0.0,0,1,1,100.65,3,7000,1,5,0,11,1,0
23.0,Education,High School or Below,1,0,1,19900.0,50,767,NY,8,1.15,9.2, ,4,0,0,0.0,0,4,60.0,50.8,1,1,1,66.75,0,15000,1,2,0,6,1,0
62.0,Transportation,Bachelor's Degree,1,0,0,81600.0,5,617,RI,106,243.2,25779.2, ,51,8,1,1958.86,2,5,32816.91,7037.71,1,2,1,7097.21,5,8000,0,2,0,9,1,0
20.0,Education,High School or Below,1,0,1,10000.0,26,719,NY,4,61.69,246.76,billing address change request card replace statement,2,0,0,0.0,0,2,246.76,0.0,0,1,1,38.22,0,15000,0,1,0,9,0,0
30.0,Construction,Associate Degree,1,0,0,14500.0,1,756,MA,3,40.11,120.33, ,2,0,0,0.0,0,3,2616.37,2496.04,1,1,1,2550.6,3,16000,1,3,0,2,2,0
37.0,Manufacturing,Associate Degree,1,0,1,49600.0,14,731,PA,17,37.1,630.7, ,10,1,0,36.74,1,3,468.44,0.0,0,1,1,37.34,0,12000,0,3,0,9,0,0
22.0,Manufacturing,Associate Degree,1,1,2,38200.0,0,650,MA,16,0.54,8.64,customer call statement statement,10,1,0,0.53,1,3,60.0,51.36,1,2,1,98.09,0,17000,1,3,1,9,1,0
53.0,Transportation,Bachelor's Degree,1,0,1,73700.0,6,728,NJ,63,169.03,10648.89,plastic replace late payment billing address,30,3,2,509.47,1,4,10648.89,0.0,0,1,1,60.25,4,14000,0,3,0,9,0,0
51.0,Education,Master's Degree,1,1,0,,7,683,PA,23,69.32,1594.36, ,9,3,0,207.66,2,4,5730.9,4136.54,1,1,1,4174.03,4,8000,1,5,0,8,1,0
55.0,Legal,Master's Degree,1,0,0,76900.0,4,703,NY,29,6.67,193.43, ,17,0,0,0.0,0,4,193.43,0.0,0,1,1,70.18,0,11000,1,2,0,2,0,0
22.0,Manufacturing,Associate Degree,1,1,2,38200.0,0,650,MA,16,0.54,8.64,customer call statement statement,10,1,0,0.53,1,3,60.0,51.36,1,2,1,98.09,0,17000,1,3,1,9,1,0
49.0,Manufacturing,Bachelor's Degree,1,0,1,44600.0,48,783,PA,20,171.54,3430.8, ,8,2,1,353.04,0,5,2792.94,0.0,0,1,1,73.59,5,14000,1,4,0,7,1,0
43.0,Manufacturing,Associate Degree,1,0,0,40700.0,58,740,NY,0,400.53,0.0, ,0,0,0,0.0,0,2,60.0,60.0,1,1,1,60.0,0,13000,1,5,0,5,0,0
49.0,Engineering,Bachelor's Degree,1,0,0,84200.0,5,780,MA,3,24.11,72.33,card replace change request customer call,0,1,0,23.93,0,3,72.33,0.0,0,1,1,48.57,0,14000,0,4,0,7,3,0
47.0,Financial Services,Bachelor's Degree,1,0,2,109900.0,3,680,PA,36,54.35,1956.6,customer call customer call card replace,20,4,2,207.98,0,3,271.11,0.0,0,1,1,38.2,3,14000,0,7,0,9,1,0
29.0,Education,High School or Below,1,0,1,31400.0,29,616,CT,2,87.03,174.06, ,0,1,1,94.0,1,3,60.0,0.0,0,1,1,40.04,0,18000,0,1,1,8,1,0
32.0,Legal,Associate Degree,1,0,2,61100.0,23,731,MA,20,113.67,2273.4, ,11,3,1,342.76,2,6,5019.33,2745.93,1,3,1,2777.65,6,17000,1,3,0,5,1,0
45.0,Retail,Bachelor's Degree,1,0,0,29400.0,6,692,MA,15,0.0,0.0,  password change transfer,8,1,1,0.0,1,5,60.0,60.0,1,1,1,60.0,0,13000,1,8,0,4,0,0
30.0,Manufacturing,Associate Degree,1,0,0,19700.0,12,782,NJ,5,0.0,0.0, ,2,2,1,0.0,2,4,60.0,60.0,1,1,1,60.0,1,8000,0,3,0,6,2,0
41.0,Financial Services,Bachelor's Degree,1,0,0,60400.0,0,739,RI,11,1.04,11.44, ,9,0,0,0.0,0,3,60.0,48.56,1,1,1,80.45,0,12000,0,4,0,7,2,0
50.0,Scientific and Technical Services,Bachelor's Degree,1,0,0,23200.0,12,683,CT,6,45.54,273.24, ,2,0,0,0.0,0,2,60.0,0.0,0,1,1,47.04,0,14000,1,5,0,5,2,0
21.0,Manufacturing,Associate Degree,1,1,1,20400.0,25,753,MA,0,113.4,0.0,statement password change billing address,0,0,0,0.0,0,6,60.0,60.0,1,2,1,60.0,0,12000,1,4,1,4,1,0
51.0,Manufacturing,Associate Degree,1,0,0,66100.0,4,784,NY,30,22.92,687.6,transfer billing address  ,18,2,1,46.04,0,5,687.6,0.0,0,1,1,26.51,1,13000,1,2,0,4,1,0
23.0,Scientific and Technical Services,High School or Below,1,0,0,9700.0,5,662,PA,12,54.37,652.44, ,7,0,0,0.0,0,3,652.44,0.0,0,1,1,59.2,0,16000,0,5,0,7,1,0
38.0,Retail,High School or Below,1,0,0,35600.0,6,734,MA,1,248.17,248.17,late payment change request billing address statement,0,0,0,0.0,0,2,60.0,0.0,0,1,1,26.82,0,11000,0,2,0,8,0,0
23.0,Education,Associate Degree,1,0,2,28500.0,12,726,NJ,11,180.86,1989.46, ,8,1,0,181.55,0,3,1989.46,0.0,0,1,1,27.66,1,10000,0,3,1,8,0,0
27.0,Education,High School or Below,1,0,0,15300.0,7,703,NY,4,101.77,407.08, ,2,0,0,0.0,0,3,60.0,0.0,0,1,1,61.52,0,9000,1,4,0,13,0,0
36.0,Manufacturing,High School or Below,1,0,0,25100.0,55,769,MA,0,14.13,0.0, ,0,0,0,0.0,0,6,60.0,60.0,1,1,1,60.0,1,14000,1,2,0,7,0,0
27.0,Scientific and Technical Services,Doctorate,1,0,0,15400.0,17,679,ME,5,98.89,494.45,billing address customer call billing address statement,2,0,0,0.0,0,3,494.45,0.0,0,1,1,47.45,0,13000,0,2,0,6,2,0
48.0,Construction,High School or Below,1,0,1,47100.0,53,684,NY,6,24.68,148.08,late payment change request statement,3,1,0,24.89,1,3,148.08,0.0,0,1,1,28.47,0,14000,0,5,0,13,0,0
36.0,Entertainment and Hospitality,High School or Below,1,0,0,55800.0,13,708,NY,4,16.49,65.96, ,2,0,0,0.0,0,4,65.96,0.0,0,1,1,39.19,0,10000,1,4,0,10,2,0
53.0,Manufacturing,Bachelor's Degree,1,0,1,53100.0,14,781,VT,87,5.09,442.83, ,44,8,2,35.02,4,6,60.0,0.0,0,1,1,33.18,0,10000,1,4,1,4,2,0
28.0,Retail,Bachelor's Degree,1,0,1,21900.0,61,669,NY,3,95.24,285.72,late payment customer call late payment statement,0,0,0,0.0,0,2,285.72,0.0,0,1,1,35.38,0,17000,0,4,0,7,2,0
49.0,Manufacturing,Associate Degree,1,0,0,41600.0,30,707,ME,17,23.55,400.35,customer call change request plastic replace,13,1,0,23.18,0,3,400.35,0.0,0,1,1,42.17,0,10000,0,3,0,8,1,0
32.0,Construction,Master's Degree,1,0,1,46800.0,4,739,PA,16,122.09,1953.44, ,7,4,2,526.76,1,2,97.67,0.0,0,1,1,46.61,2,12000,1,2,0,8,0,0
40.0,Scientific and Technical Services,High School or Below,1,0,0,41300.0,1,704,NY,4,49.18,196.72, ,3,0,0,0.0,0,5,196.72,0.0,0,1,1,44.76,0,13000,0,1,0,7,1,0
54.0,Retail,Associate Degree,1,1,1,,24,715,CT,0,269.74,0.0, ,0,0,0,0.0,0,3,60.0,60.0,1,2,1,60.0,0,9000,0,6,0,6,1,0
41.0,Financial Services,Master's Degree,1,0,2,84700.0,35,745,NJ,11,0.0,0.0, ,6,2,0,0.0,2,7,2693.82,2693.82,1,1,1,2693.82,7,13000,1,2,0,5,0,0
